7602103;NSR:StopPlace:1
7610206;NSR:StopPlace:101
7601366;NSR:StopPlace:104
7600620;NSR:StopPlace:105
7401728;NSR:StopPlace:107
7601514;NSR:StopPlace:108
7601421;NSR:StopPlace:11
7601305;NSR:StopPlace:110
7602332;NSR:StopPlace:114
7601014;NSR:StopPlace:116
7600909;NSR:StopPlace:117
7601017;NSR:StopPlace:118
7601821;NSR:StopPlace:12
7602203;NSR:StopPlace:120
7600315;NSR:StopPlace:123
7601414;NSR:StopPlace:126
7600508;NSR:StopPlace:127
7400410;NSR:StopPlace:128
7601512;NSR:StopPlace:132
7600538;NSR:StopPlace:133
7400781;NSR:StopPlace:135
7601815;NSR:StopPlace:136
7601507;NSR:StopPlace:140
7601208;NSR:StopPlace:141
7600918;NSR:StopPlace:143
7601125;NSR:StopPlace:144
7601301;NSR:StopPlace:148
7602214;NSR:StopPlace:149
7600622;NSR:StopPlace:15
7602333;NSR:StopPlace:151
7601402;NSR:StopPlace:152
7601123;NSR:StopPlace:155
7601404;NSR:StopPlace:157
7601617;NSR:StopPlace:158
7600216;NSR:StopPlace:159
7601376;NSR:StopPlace:161
7600204;NSR:StopPlace:163
7600222;NSR:StopPlace:166
7610202;NSR:StopPlace:167
7600907;NSR:StopPlace:169
7600734;NSR:StopPlace:17
7601344;NSR:StopPlace:173
7601102;NSR:StopPlace:175
7601385;NSR:StopPlace:176
7602178;NSR:StopPlace:177
7601600;NSR:StopPlace:18
7601214;NSR:StopPlace:180
7602326;NSR:StopPlace:183
7401374;NSR:StopPlace:184
7600303;NSR:StopPlace:186
7601603;NSR:StopPlace:187
7600720;NSR:StopPlace:191
7600546;NSR:StopPlace:192
7400837;NSR:StopPlace:193
7601364;NSR:StopPlace:195
7602204;NSR:StopPlace:199
7601011;NSR:StopPlace:20
7602322;NSR:StopPlace:200
7610503;NSR:StopPlace:202
7600516;NSR:StopPlace:203
7602232;NSR:StopPlace:206
7600205;NSR:StopPlace:208
7601122;NSR:StopPlace:210
7601352;NSR:StopPlace:211
7601120;NSR:StopPlace:214
7602136;NSR:StopPlace:216
7600605;NSR:StopPlace:218
7600711;NSR:StopPlace:219
7602324;NSR:StopPlace:222
7602307;NSR:StopPlace:223
7600536;NSR:StopPlace:226
7601207;NSR:StopPlace:229
7600914;NSR:StopPlace:23
7600505;NSR:StopPlace:230
7602361;NSR:StopPlace:231
7601387;NSR:StopPlace:234
7601115;NSR:StopPlace:237
7610212;NSR:StopPlace:238
7600522;NSR:StopPlace:239
7602221;NSR:StopPlace:242
7601605;NSR:StopPlace:245
7602175;NSR:StopPlace:246
7602140;NSR:StopPlace:247
7601370;NSR:StopPlace:25
7602113;NSR:StopPlace:250
7601210;NSR:StopPlace:253
7600301;NSR:StopPlace:254
7600209;NSR:StopPlace:255
7601505;NSR:StopPlace:259
7602313;NSR:StopPlace:260
7602225;NSR:StopPlace:261
7601810;NSR:StopPlace:263
7600606;NSR:StopPlace:267
7600213;NSR:StopPlace:268
7600220;NSR:StopPlace:269
7600308;NSR:StopPlace:27
7621200;NSR:StopPlace:271
7600729;NSR:StopPlace:274
7601341;NSR:StopPlace:275
7600501;NSR:StopPlace:279
7600610;NSR:StopPlace:280
7602228;NSR:StopPlace:282
7600503;NSR:StopPlace:287
7600180;NSR:StopPlace:288
7621413;NSR:StopPlace:289
7602184;NSR:StopPlace:29
7601813;NSR:StopPlace:291
7601411;NSR:StopPlace:295
7602107;NSR:StopPlace:296
7602105;NSR:StopPlace:297
7601213;NSR:StopPlace:3
7610601;NSR:StopPlace:301
7600626;NSR:StopPlace:302
7601406;NSR:StopPlace:303
7610201;NSR:StopPlace:305
7602217;NSR:StopPlace:309
7601020;NSR:StopPlace:31
7612329;NSR:StopPlace:311
7600203;NSR:StopPlace:313
7601107;NSR:StopPlace:316
7602319;NSR:StopPlace:318
7601412;NSR:StopPlace:319
7600506;NSR:StopPlace:323
7602315;NSR:StopPlace:324
7602360;NSR:StopPlace:326
7600916;NSR:StopPlace:328
